First Name;Last Name;Address;Telephone;Amount Donated (GBP);Gender;Date of Birth;Has Pet;Profession
David;Thomas;5th Avenue, New York City;0151 9516916;23,04;Non-Binary;1993-05-08 00:00:00;No;Dentist
Emma;Martin;1600 Pennsylvania Avenue NW, Washington, D.C.;0117 1975883;11,54;Male;1991-07-23 00:00:00;Yes;Accountant
David;Johnson;23 Railway Cuttings, East Cheam, Surrey;0131 8508463;9,52;Female;2000-01-22 00:00:00;Yes;Software Developer
Lucas;Johnson;14 Dalmatian Street, Camden, London NW1;0113 9069623;9,03;Female;1991-01-13 00:00:00;Yes;Graphic Designer
Emily;Davis;221B Baker Street, London NW1 6XE;0117 8222854;12,53;Female;1982-01-13 00:00:00;Yes;Chef
Laura;Davis;742 Evergreen Terrace, Springfield;0113 3011841;23,29;Non-Binary;1978-01-13 00:00:00;Yes;Chef
James;Moore;23 Railway Cuttings, East Cheam, Surrey;0151 6394384;17,47;Non-Binary;1997-09-24 00:00:00;No;Dentist
Mia;Garcia;12 Grimmauld Place, Islington, London N1;0151 9213653;9,46;Non-Binary;1994-03-18 00:00:00;Yes;Chef
Samantha;Jones;10 Downing Street, Westminster, London SW1A 2AA;020 8099917;16,66;Female;1957-10-06 00:00:00;Yes;Dentist
Mia;Smith;1600 Pennsylvania Avenue NW, Washington, D.C.;0151 5649003;23,1;Non-Binary;1975-09-18 00:00:00;Yes;Teacher
Samantha;Jones;14 Dalmatian Street, Camden, London NW1;0151 0549677;18,96;Non-Binary;1982-03-03 00:00:00;No;Sales Manager
John;Williams;12 Grimmauld Place, Islington, London N1;020 5209595;23,36;Non-Binary;2001-01-27 00:00:00;No;Journalist
Laura;Garcia;23 Railway Cuttings, East Cheam, Surrey;0117 5354749;20,65;Male;1994-11-17 00:00:00;No;Journalist
Jane;Rodriguez;10 Downing Street, Westminster, London SW1A 2AA;0151 5576929;10,41;Male;1963-07-18 00:00:00;No;Graphic Designer
Lucas;Davis;23 Railway Cuttings, East Cheam, Surrey;0117 8790095;21,11;Male;1968-04-08 00:00:00;No;Pharmacist
Emma;Gonzalez;10 Downing Street, Westminster, London SW1A 2AA;0113 3075228;16,84;Male;1979-03-08 00:00:00;Yes;Doctor
James;Rodriguez;1600 Pennsylvania Avenue NW, Washington, D.C.;0151 2154186;13,59;Male;1987-04-27 00:00:00;Yes;Sales Manager
Alex;Williams;10 Downing Street, Westminster, London SW1A 2AA;0131 8657387;21,83;Male;1952-03-18 00:00:00;Yes;Chef
Benjamin;Jones;23 Railway Cuttings, East Cheam, Surrey;0121 7036603;24,07;Male;1952-03-08 00:00:00;Yes;Pilot
James;Anderson;221B Baker Street, London NW1 6XE;020 5127005;13,76;Female;1966-10-27 00:00:00;No;Chef
Jane;Martin;12 Grimmauld Place, Islington, London N1;0117 1546731;15,41;Non-Binary;1954-04-23 00:00:00;Yes;Doctor
Jessica;Davis;10 Downing Street, Westminster, London SW1A 2AA;0113 5387367;6,08;Male;1985-09-17 00:00:00;No;Dentist
Ethan;Jones;12 Grimmauld Place, Islington, London N1;0131 0040939;13,11;Male;1951-07-18 00:00:00;No;Sales Manager
Alex;Hernandez;742 Evergreen Terrace, Springfield;0131 7996370;9,56;Male;1972-10-02 00:00:00;No;Police Officer
Mia;Williams;221B Baker Street, London NW1 6XE;0117 0096568;23,66;Male;2000-06-20 00:00:00;No;Marketing Specialist
Emma;Johnson;5th Avenue, New York City;0121 4038050;19,27;Male;1955-06-09 00:00:00;Yes;Architect
Sarah;Smith;12 Grimmauld Place, Islington, London N1;020 7874857;8,89;Female;1980-01-02 00:00:00;Yes;Marketing Specialist
Olivia;Jones;1600 Pennsylvania Avenue NW, Washington, D.C.;0113 7573858;15,32;Non-Binary;1979-12-25 00:00:00;Yes;Dentist
John;Gonzalez;10 Downing Street, Westminster, London SW1A 2AA;0121 2660233;12,45;Male;1953-11-18 00:00:00;Yes;Software Developer
Benjamin;Moore;23 Railway Cuttings, East Cheam, Surrey;020 7908775;18,4;Female;1961-08-27 00:00:00;Yes;Architect
Daniel;Lopez;14 Dalmatian Street, Camden, London NW1;0161 5375062;11,37;Male;1952-10-21 00:00:00;Yes;Software Developer
Sophia;Johnson;1600 Pennsylvania Avenue NW, Washington, D.C.;0121 0568463;18,19;Female;1988-04-16 00:00:00;No;Software Developer
